"","state","county","population"
"1","Alabama","Autauga",56145
"2","Alabama","Baldwin",229287
"3","Alabama","Barbour",24589
"4","Alabama","Bibb",22136
"5","Alabama","Blount",57879
"6","Alabama","Bullock",9976
"7","Alabama","Butler",19504
"8","Alabama","Calhoun",113469
"9","Alabama","Chambers",32865
"10","Alabama","Cherokee",26294
"11","Alabama","Chilton",44397
"12","Alabama","Choctaw",12418
"13","Alabama","Clarke",23291
"14","Alabama","Clay",13112
"15","Alabama","Cleburne",14967
"16","Alabama","Coffee",53230
"17","Alabama","Colbert",55411
"18","Alabama","Conecuh",11851
"19","Alabama","Coosa",10650
"20","Alabama","Covington",36930
"21","Alabama","Crenshaw",13681
"22","Alabama","Cullman",84515
"23","Alabama","Dale",48959
"24","Alabama","Dallas",36098
"25","Alabama","DeKalb",71658
"26","Alabama","Elmore",82158
"27","Alabama","Escambia",36281
"28","Alabama","Etowah",102371
"29","Alabama","Fayette",16241
"30","Alabama","Franklin",31507
"31","Alabama","Geneva",26411
"32","Alabama","Greene",7990
"33","Alabama","Hale",14670
"34","Alabama","Henry",17223
"35","Alabama","Houston",106580
"36","Alabama","Jackson",51582
"37","Alabama","Jefferson",655342
"38","Alabama","Lamar",13764
"39","Alabama","Lauderdale",93368
"40","Alabama","Lawrence",32857
"41","Alabama","Lee",166831
"42","Alabama","Limestone",102228
"43","Alabama","Lowndes",9641
"44","Alabama","Macon",17895
"45","Alabama","Madison",379453
"46","Alabama","Marengo",18733
"47","Alabama","Marion",29703
"48","Alabama","Marshall",96990
"49","Alabama","Mobile",412716
"50","Alabama","Monroe",20459
"51","Alabama","Montgomery",224639
"52","Alabama","Morgan",119883
"53","Alabama","Perry",8687
"54","Alabama","Pickens",19793
"55","Alabama","Pike",32966
"56","Alabama","Randolph",22920
"57","Alabama","Russell",58237
"58","Alabama","St",90739
"59","Alabama","Shelby",221428
"60","Alabama","Sumter",12225
"61","Alabama","Talladega",79985
"62","Alabama","Tallapoosa",40133
"63","Alabama","Tuscaloosa",210758
"64","Alabama","Walker",63143
"65","Alabama","Washington",15976
"66","Alabama","Wilcox",10206
"67","Alabama","Winston",23508
"68","Alaska","Aleutians",3401
"69","Alaska","Aleutians",5680
"70","Alaska","Anchorage",287095
"71","Alaska","Bethel",18437
"72","Alaska","Bristol",788
"73","Alaska","Chugach",6427
"74","Alaska","Copper",2919
"75","Alaska","Denali",2081
"76","Alaska","Dillingham",4833
"77","Alaska","Fairbanks",95651
"78","Alaska","Haines",2614
"79","Alaska","Hoonah",2141
"80","Alaska","Juneau",31849
"81","Alaska","Kenai",59414
"82","Alaska","Ketchikan",13747
"83","Alaska","Kodiak",12992
"84","Alaska","Kusilvak",8328
"85","Alaska","Lake",1493
"86","Alaska","Matanuska",110213
"87","Alaska","Nome",9909
"88","Alaska","North",9294
"89","Alaska","Northwest",7644
"90","Alaska","Petersburg",3296
"91","Alaska","Prince",6147
"92","Alaska","Sitka",8405
"93","Alaska","Skagway",1179
"94","Alaska","Southeast",6957
"95","Alaska","Wrangell",2510
"96","Alaska","Yakutat",637
"97","Alaska","Yukon",5077
"98","Arizona","Apache",71875
"99","Arizona","Cochise",127450
"100","Arizona","Coconino",142481
"101","Arizona","Gila",54303
"102","Arizona","Graham",39211
"103","Arizona","Greenlee",9341
"104","Arizona","La",21480
"105","Arizona","Maricopa",4579081
"106","Arizona","Mohave",217206
"107","Arizona","Navajo",112112
"108","Arizona","Pima",1061175
"109","Arizona","Pinal",480828
"110","Arizona","Santa",46808
"111","Arizona","Yavapai",240226
"112","Arizona","Yuma",217824
"113","Arkansas","Arkansas",17383
"114","Arkansas","Ashley",19339
"115","Arkansas","Baxter",42242
"116","Arkansas","Benton",288774
"117","Arkansas","Boone",37625
"118","Arkansas","Bradley",10639
"119","Arkansas","Calhoun",5113
"120","Arkansas","Carroll",28276
"121","Arkansas","Chicot",9924
"122","Arkansas","Clark",22103
"123","Arkansas","Clay",14375
"124","Arkansas","Cleburne",24935
"125","Arkansas","Cleveland",7957
"126","Arkansas","Columbia",23331
"127","Arkansas","Conway",21037
"128","Arkansas","Craighead",112245
"129","Arkansas","Crawford",63409
"130","Arkansas","Crittenden",47616
"131","Arkansas","Cross",16142
"132","Arkansas","Dallas",6802
"133","Arkansas","Desha",11110
"134","Arkansas","Drew",17977
"135","Arkansas","Faulkner",126919
"136","Arkansas","Franklin",17897
