"","STNAME","CTYNAME","POPESTIMATE2020"
"1","Alabama","Alabama",4921532
"2","Alaska","Alaska",731158
"3","Arizona","Arizona",7421401
"4","Arkansas","Arkansas",3030522
"5","California","California",39368078
"6","Colorado","Colorado",5807719
"7","Connecticut","Connecticut",3557006
"8","Delaware","Delaware",986809
"9","District of Columbia","District of Columbia",712816
"10","Florida","Florida",21733312
"11","Georgia","Georgia",10710017
"12","Hawaii","Hawaii",1407006
"13","Idaho","Idaho",1826913
"14","Illinois","Illinois",12587530
"15","Indiana","Indiana",6754953
"16","Iowa","Iowa",3163561
"17","Kansas","Kansas",2913805
"18","Kentucky","Kentucky",4477251
"19","Louisiana","Louisiana",4645318
"20","Maine","Maine",1350141
"21","Maryland","Maryland",6055802
"22","Massachusetts","Massachusetts",6893574
"23","Michigan","Michigan",9966555
"24","Minnesota","Minnesota",5657342
"25","Mississippi","Mississippi",2966786
"26","Missouri","Missouri",6151548
"27","Montana","Montana",1080577
"28","Nebraska","Nebraska",1937552
"29","Nevada","Nevada",3138259
"30","New Hampshire","New Hampshire",1366275
"31","New Jersey","New Jersey",8882371
"32","New Mexico","New Mexico",2106319
"33","New York","New York",19336776
"34","North Carolina","North Carolina",10600823
"35","North Dakota","North Dakota",765309
"36","Ohio","Ohio",11693217
"37","Oklahoma","Oklahoma",3980783
"38","Oregon","Oregon",4241507
"39","Pennsylvania","Pennsylvania",12783254
"40","Rhode Island","Rhode Island",1057125
"41","South Carolina","South Carolina",5218040
"42","South Dakota","South Dakota",892717
"43","Tennessee","Tennessee",6886834
"44","Texas","Texas",29360759
"45","Utah","Utah",3249879
"46","Vermont","Vermont",623347
"47","Virginia","Virginia",8590563
"48","Washington","Washington",7693612
"49","West Virginia","West Virginia",1784787
"50","Wisconsin","Wisconsin",5832655
"51","Wyoming","Wyoming",582328
